title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	molecule_ch1	taxid_ch1	description	description.1	description.2	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
878PBMC	GSM23173	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23173/suppl/GSM23173.CEL.gz	12625
894PBMC	GSM23174	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23174/suppl/GSM23174.CEL.gz	12625
912PBMC	GSM23175	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23175/suppl/GSM23175.CEL.gz	12625
9137PBMC	GSM23176	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23176/suppl/GSM23176.CEL.gz	12625
9272PBMC	GSM23177	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23177/suppl/GSM23177.CEL.gz	12625
993PBMC	GSM23178	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from polyaticular course JRA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Polyarticular course, juvenile rheumatoid arthritis (JRA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23178/suppl/GSM23178.CEL.gz	12625
18042PBMC	GSM23179	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23179/suppl/GSM23179.CEL.gz	12625
18057PBMC	GSM23180	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23180/suppl/GSM23180.CEL.gz	12625
7177PBMC	GSM23181	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23181/suppl/GSM23181.CEL.gz	12625
845PBMC	GSM23182	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23182/suppl/GSM23182.CEL.gz	12625
9150PBMC	GSM23183	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23183/suppl/GSM23183.CEL.gz	12625
9245PBMC	GSM23184	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from JSpA patient	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Juvenile spondyloarthropathy (JSpA), peripheral blood mononuclear cells (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23184/suppl/GSM23184.CEL.gz	12625
1082PBMC	GSM23185	Public on Aug 11 2004	May 13 2004	Mar 16 2009	RNA	1	PBMC	Homo sapiens	total RNA	9606	PBMC isolated by Ficoll gradient centrifugation from control	Biotinylated cRNA was synthesized from total RNA (Enzo; Farmingdale, NY) and processed according to the Affymetrix GeneChip Expression Analysis Technical Manual (Affymetrix; Santa Clara, CA).  57 samples: 5 pauciarticular PBMC, 15 polyarticular PBMC, 11 control PMBC, 6 JSpA PBMC, 5 pauciarticular SFMC, 10 polyarticular PBMC, 5 JSpA SFMC classified by course.	Keywords = Control, peripheral blood mononuclear cell (PBMC)	GPL8300	Michael,,Barnes	michael.barnes@cchmc.org	513-636-1319	Dr. David Glass	Rheumatology	Cincinnati Childrens Hospital Medical Center	3333 Burnet Ave	Cincinnati	OH	45229	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM23nnn/GSM23185/suppl/GSM23185.CEL.gz	12625
