ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1795025	0.983	0.00262138	3.41937118	-2.1503	0.26680658		
ILMN_2350315	0.983	0.00263416	-3.41728875	-2.153	-0.35771153	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
ILMN_1697998	0.983	0.00267198	-3.41118711	-2.1609	-0.22314989	MTFR2	mitochondrial fission regulator 2
ILMN_2148679	0.983	0.00268349	3.40934646	-2.1633	0.35931805	SDHAP3	succinate dehydrogenase complex flavoprotein subunit A pseudogene 3
ILMN_1861059	0.983	0.002689	-3.40846806	-2.1644	-0.2258122		
ILMN_1784578	0.983	0.00271091	-3.40499286	-2.1689	-0.16292296	LRRC37A3	leucine rich repeat containing 37 member A3
ILMN_1751607	0.983	0.00271726	-3.40398989	-2.1702	-0.48136801	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
ILMN_1805180	0.983	0.00271974	-3.40360009	-2.1707	-0.21992861		
ILMN_1783636	0.983	0.00274134	3.40021091	-2.1751	0.18734406	COX6A1	cytochrome c oxidase subunit 6A1
ILMN_2362858	0.983	0.00275202	-3.39854444	-2.1772	-0.47139627	PILRA	paired immunoglobin like type 2 receptor alpha
ILMN_1782331	0.983	0.00275442	3.39817098	-2.1777	0.32941747	TDG	thymine DNA glycosylase
ILMN_2130441	0.983	0.00278586	-3.3933085	-2.184	-0.35244151	HLA-H	major histocompatibility complex, class I, H (pseudogene)
ILMN_1779043	0.983	0.00279614	3.39172934	-2.186	0.88690719	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6
ILMN_1669995	0.983	0.0027976	3.39150631	-2.1863	0.19507321	OR11H1	olfactory receptor family 11 subfamily H member 1
ILMN_1768617	0.983	0.00280281	3.39070939	-2.1873	0.17117258		
ILMN_1691547	0.983	0.002827	3.38702511	-2.1921	0.23615298		
ILMN_1665282	0.983	0.00283077	3.38645344	-2.1928	0.26675636		
ILMN_1665585	0.983	0.0028416	-3.38481781	-2.1949	-0.26807865		
ILMN_1688775	0.983	0.00287478	-3.37984021	-2.2013	-0.18882664		
ILMN_1809562	0.983	0.00287556	3.37972392	-2.2015	0.15447095		
ILMN_3226875	0.983	0.00290584	3.37523026	-2.2073	0.28758374		
ILMN_1739210	0.983	0.0029341	3.37107984	-2.2126	0.30328775	NSL1	NSL1, MIS12 kinetochore complex component
ILMN_2141030	0.983	0.00293718	-3.37062868	-2.2132	-0.16959279	ARL17B	ADP ribosylation factor like GTPase 17B
ILMN_1794364	0.983	0.00295069	-3.36866093	-2.2158	-0.73572061	CTSW	cathepsin W
ILMN_1658460	0.983	0.00295262	3.3683793	-2.2161	0.21270453		
ILMN_2127416	0.983	0.00295531	3.36798869	-2.2166	0.27522883	GSR	glutathione-disulfide reductase
ILMN_3178890	0.983	0.00301572	3.35930425	-2.2278	0.4085668		
ILMN_1748981	0.983	0.00303285	-3.35687274	-2.231	-0.24377939	KLK3	kallikrein related peptidase 3
ILMN_1856851	0.983	0.00303699	-3.35628795	-2.2317	-0.37861189		
ILMN_1773780	0.983	0.00304783	-3.35475724	-2.2337	-0.24006231	FAM173A	family with sequence similarity 173 member A
ILMN_1768031	0.983	0.00304884	-3.35461602	-2.2339	-0.25005398	DEDD2	death effector domain containing 2
ILMN_1736863	0.983	0.00305098	-3.35431438	-2.2343	-0.40921237	TMEM140	transmembrane protein 140
ILMN_1693207	0.983	0.00305472	-3.35378878	-2.235	-0.9784807	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ILMN_1768818	0.983	0.00307811	3.35051218	-2.2392	0.21244273	LRRC46	leucine rich repeat containing 46
ILMN_1665235	0.983	0.00312003	3.34470319	-2.2467	0.41267702	CRTAP	cartilage associated protein
ILMN_1713505	0.983	0.00317485	-3.3372189	-2.2563	-0.25835949	NPC1	NPC intracellular cholesterol transporter 1
ILMN_3245702	0.983	0.00318444	3.33592243	-2.258	0.22746453	IFNE	interferon epsilon
ILMN_2402272	0.983	0.00321277	3.33211527	-2.2629	0.33678338	TCEAL8	transcription elongation factor A like 8
ILMN_2285951	0.983	0.00325588	-3.32638536	-2.2703	-0.17446238		
ILMN_1888492	0.983	0.00327084	-3.32441352	-2.2729	-0.234279		
ILMN_1775822	0.983	0.00327493	-3.32387541	-2.2736	-0.36815296	PDGFB	platelet derived growth factor subunit B
ILMN_1735910	0.983	0.00327715	-3.32358509	-2.2739	-0.24298301	VMO1	vitelline membrane outer layer 1 homolog
ILMN_1832920	0.983	0.00329047	-3.32184047	-2.2762	-0.22223112	LOC115110	uncharacterized LOC115110
ILMN_3290428	0.983	0.00330765	-3.31959972	-2.2791	-0.27537781	SSC5D	scavenger receptor cysteine rich family member with 5 domains
ILMN_2226519	0.983	0.00333316	3.31629426	-2.2834	0.31546375	CYP2D7	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)
ILMN_1742731	0.983	0.00333395	-3.31619308	-2.2835	-0.19313682	SLC35A2	solute carrier family 35 member A2
ILMN_1697292	0.983	0.00334338	3.31497723	-2.2851	0.20385492		
ILMN_1715463	0.983	0.0034181	3.30546545	-2.2973	0.19627834	SOSTDC1	sclerostin domain containing 1
ILMN_1678882	0.983	0.00348239	-3.29744141	-2.3077	-0.9011534	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ILMN_1797155	0.983	0.00349565	3.29580429	-2.3098	0.52895308	C17orf75	chromosome 17 open reading frame 75
ILMN_1691881	0.983	0.00353885	3.29051291	-2.3166	0.51995996		
ILMN_2060413	0.983	0.00355478	3.28857738	-2.3191	0.81862418	CD24	CD24 molecule
ILMN_1727430	0.983	0.00357626	3.28598202	-2.3225	0.27773952		
ILMN_1850588	0.983	0.00358501	3.28492874	-2.3238	0.21295028		
ILMN_1733863	0.983	0.00359206	-3.28408146	-2.3249	-0.27228326	UBALD1	UBA like domain containing 1
ILMN_1793302	0.983	0.00360023	-3.28310176	-2.3262	-0.21640438	WDR4	WD repeat domain 4
ILMN_1748923	0.983	0.00364877	-3.27732916	-2.3336	-0.23101992	SMC2	structural maintenance of chromosomes 2
ILMN_1874018	0.983	0.00374117	3.26654161	-2.3476	0.25726106		
ILMN_1790052	0.983	0.00375875	-3.2645196	-2.3502	-0.51004754		
ILMN_1843361	0.983	0.00377077	-3.26314141	-2.352	-0.24742201		
ILMN_1699362	0.983	0.003771	-3.26311494	-2.352	-0.21909793	IK	IK cytokine, down-regulator of HLA II
ILMN_1778991	0.983	0.0038711	-3.25180489	-2.3666	-0.51834463	NFIB	nuclear factor I B
ILMN_1754943	0.983	0.00388179	-3.2506141	-2.3681	-0.26275109	MYO1E	myosin IE
ILMN_1768293	0.983	0.00389063	3.2496317	-2.3694	0.28588491	NUP155	nucleoporin 155
ILMN_1690392	0.983	0.00391326	3.24712672	-2.3726	0.30651726	COMMD3	COMM domain containing 3
ILMN_3270411	0.983	0.00393358	-3.24488982	-2.3755	-0.20950206		
ILMN_2159453	0.983	0.00393471	-3.24476508	-2.3757	-0.2266706	STXBP2	syntaxin binding protein 2
ILMN_2326712	0.983	0.00394713	3.24340363	-2.3774	0.59820296	BACE2	beta-site APP-cleaving enzyme 2
ILMN_1783805	0.983	0.00394775	-3.24333541	-2.3775	-0.98052687	PNMA3	paraneoplastic Ma antigen 3
ILMN_1662316	0.983	0.0039786	-3.23997244	-2.3818	-0.19969057	VPS33A	VPS33A, CORVET/HOPS core subunit
ILMN_2327812	0.983	0.00398982	3.2387552	-2.3834	0.66986242	IL5RA	interleukin 5 receptor subunit alpha
ILMN_1890754	0.983	0.00401654	-3.23587075	-2.3871	-0.31402575		
ILMN_1670540	0.983	0.00402313	-3.23516176	-2.3881	-0.14425511	SMAD1	SMAD family member 1
ILMN_1723971	0.983	0.00402722	3.23472187	-2.3886	1.01959746		
ILMN_1653319	0.983	0.0040544	-3.23181413	-2.3924	-0.56192219	MC1R	melanocortin 1 receptor
ILMN_1747934	0.983	0.00406252	-3.23094936	-2.3935	-0.37429818	ISYNA1	inositol-3-phosphate synthase 1
ILMN_2260813	0.983	0.00409147	3.22787905	-2.3974	0.19571449	TSPYL2	TSPY like 2
ILMN_1787326	0.983	0.00413664	-3.2231299	-2.4036	-0.18225025	SNORA65	small nucleolar RNA, H/ACA box 65
ILMN_1750761	0.983	0.00418453	-3.21814955	-2.41	-0.5413783	NCR1	natural cytotoxicity triggering receptor 1
ILMN_1727567	0.983	0.00419459	3.21711008	-2.4113	1.05568091	OLIG2	oligodendrocyte lineage transcription factor 2
ILMN_3304072	0.983	0.00420207	3.21633939	-2.4123	0.20392567	PRG4	proteoglycan 4
ILMN_1717706	0.983	0.00421472	-3.21503835	-2.414	-0.17898592	PLK2	polo like kinase 2
ILMN_1804329	0.983	0.00421893	-3.21460658	-2.4146	-0.31674351	TUSC2	tumor suppressor candidate 2
ILMN_3228430	0.983	0.00424818	-3.21161509	-2.4184	-0.12740581		
ILMN_1655418	0.983	0.00429647	-3.20672151	-2.4247	-0.33234767	CAPNS1	calpain small subunit 1
ILMN_1716014	0.983	0.00429816	3.2065508	-2.425	0.36617393		
ILMN_3307850	0.983	0.0042985	3.20651636	-2.425	0.14784806	KIF19	kinesin family member 19
ILMN_1715567	0.983	0.00433545	-3.20280981	-2.4298	-0.22447714	C12orf50	chromosome 12 open reading frame 50
ILMN_1654185	0.983	0.00437379	-3.19899546	-2.4347	-0.1543862		
ILMN_2307978	0.983	0.00438244	-3.19813935	-2.4358	-0.46127905		
ILMN_1799424	0.983	0.00438622	-3.19776617	-2.4363	-0.18968082	PHACTR3	phosphatase and actin regulator 3
ILMN_3226449	0.983	0.00438787	-3.19760241	-2.4365	-0.17290446		
ILMN_1916025	0.983	0.00440023	3.19638373	-2.4381	0.42717058		
ILMN_1656812	0.983	0.00447974	-3.1886216	-2.4481	-0.14353265	NMRK2	nicotinamide riboside kinase 2
ILMN_3302456	0.983	0.00449799	3.18685888	-2.4503	0.41972179		
ILMN_2255133	0.983	0.00450619	3.18606913	-2.4514	0.34318966	BCL11A	B-cell CLL/lymphoma 11A
ILMN_2087702	0.983	0.00450816	-3.18587979	-2.4516	-0.27041965	MYH9	myosin, heavy chain 9, non-muscle
ILMN_1805778	0.983	0.00452015	3.1847281	-2.4531	0.33994629	RBM12B	RNA binding motif protein 12B
ILMN_1720623	0.983	0.00453304	-3.18349286	-2.4547	-0.33970804	SYTL3	synaptotagmin like 3
ILMN_1736555	0.983	0.0045453	3.18232076	-2.4562	0.28105452	ZNF280D	zinc finger protein 280D
ILMN_1871488	0.983	0.00457519	-3.17947828	-2.4599	-0.31699487		
ILMN_3239073	0.983	0.00457705	3.1793013	-2.4601	0.2162751		
ILMN_1688458	0.983	0.00460714	3.17645883	-2.4637	0.15021481	CELA2B	chymotrypsin like elastase family member 2B
ILMN_2274420	0.983	0.00464542	-3.1728677	-2.4684	-0.36905565	SPTLC1	serine palmitoyltransferase long chain base subunit 1
ILMN_1760434	0.983	0.00464588	-3.17282484	-2.4684	-0.22776735		
ILMN_1680967	0.983	0.00464874	3.17255825	-2.4688	0.21271084	SARNP	SAP domain containing ribonucleoprotein
ILMN_2252495	0.983	0.00465683	-3.17180331	-2.4697	-0.16077779	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_3249629	0.983	0.00466537	-3.17100752	-2.4708	-0.28466361	ZNF865	zinc finger protein 865
ILMN_1860487	0.983	0.00467085	3.17049804	-2.4714	0.24988502		
ILMN_1700771	0.983	0.00467405	-3.1702014	-2.4718	-0.12285972		
ILMN_1654474	0.983	0.00470424	-3.16740589	-2.4754	-0.13955801		
ILMN_3241578	0.983	0.00471504	-3.16641028	-2.4767	-0.13128352		
ILMN_1808163	0.983	0.00478485	-3.16002749	-2.4849	-0.33640228	C11orf24	chromosome 11 open reading frame 24
ILMN_3251676	0.983	0.00479595	3.15902073	-2.4862	0.29466201	BCL2L15	BCL2 like 15
ILMN_1745034	0.983	0.00479908	3.15873751	-2.4866	0.32428132	SLC11A2	solute carrier family 11 member 2
ILMN_3247979	0.983	0.00482203	3.15666475	-2.4892	0.33858407		
ILMN_2100871	0.983	0.0049125	-3.14858637	-2.4997	-0.15990375	ADAM30	ADAM metallopeptidase domain 30
ILMN_1676280	0.983	0.00494509	-3.14571154	-2.5034	-0.3341962	NSUN3	NOP2/Sun RNA methyltransferase family member 3
ILMN_1697642	0.983	0.0049517	3.14513082	-2.5041	0.47764318	BCAP29	B-cell receptor-associated protein 29
ILMN_1687041	0.983	0.00497814	-3.14281467	-2.5071	-0.28389135		
ILMN_1789346	0.983	0.00497984	-3.14266634	-2.5073	-0.5019542		
ILMN_1703531	0.983	0.00498088	3.14257494	-2.5074	0.44479028	S1PR3	sphingosine-1-phosphate receptor 3
ILMN_2241953	0.983	0.0050114	-3.1399183	-2.5108	-0.46424711	PILRA	paired immunoglobin like type 2 receptor alpha
ILMN_3248035	0.983	0.00502281	3.13892896	-2.5121	0.24345635	NTN5	netrin 5
ILMN_1726426	0.983	0.00503276	3.13806762	-2.5132	0.3032361	PHF2	PHD finger protein 2
ILMN_1716276	0.983	0.00507651	-3.13430176	-2.518	-0.41786666	CCL4L1	C-C motif chemokine ligand 4 like 1
ILMN_1739756	0.983	0.00507683	-3.13427487	-2.5181	-1.02317927	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ILMN_1806253	0.983	0.00507851	-3.13413063	-2.5183	-0.15133638		
ILMN_2077858	0.983	0.00512821	-3.12989197	-2.5237	-0.27808643	SIRT7	sirtuin 7
ILMN_1677311	0.983	0.00513329	-3.12946061	-2.5243	-0.20215188	FAM208B	family with sequence similarity 208 member B
ILMN_1702740	0.983	0.00517781	-3.1257015	-2.5291	-0.12061831		
ILMN_1771620	0.983	0.00517988	3.12552756	-2.5293	0.22276673	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
ILMN_1672759	0.983	0.00520021	3.12382176	-2.5315	0.34719082	MCU	mitochondrial calcium uniporter
ILMN_1884922	0.983	0.00521299	3.12275232	-2.5329	0.34689774		
ILMN_1750601	0.983	0.00523516	-3.12090438	-2.5353	-0.3272723		
ILMN_1906299	0.983	0.00524089	3.12042743	-2.5359	0.32717419		
ILMN_2140974	0.983	0.00524279	-3.12026952	-2.5361	-0.29213927	TPM4	tropomyosin 4
ILMN_1873215	0.983	0.00525285	-3.11943456	-2.5372	-0.28774984		
ILMN_2282366	0.983	0.00532233	-3.11370925	-2.5445	-0.15869179	IQSEC3	IQ motif and Sec7 domain 3
ILMN_2190842	0.983	0.0053319	-3.11292606	-2.5456	-0.94534238	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ILMN_1773313	0.983	0.00533592	3.11259806	-2.546	0.40273042	USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)
ILMN_1806500	0.983	0.00533702	-3.1125078	-2.5461	-0.48703414	CPNE5	copine 5
ILMN_1653453	0.983	0.00533955	3.11230167	-2.5464	0.14464196	MID1	midline 1
ILMN_1704065	0.983	0.00535263	3.1112346	-2.5477	0.28817637		
ILMN_1865043	0.983	0.00537348	-3.10954048	-2.5499	-0.26616471		
ILMN_1679693	0.983	0.00540443	3.10703637	-2.5531	0.22032301	TMEM87B	transmembrane protein 87B
ILMN_1740466	0.983	0.00547037	3.10174751	-2.5599	0.25372215	FAM46A	family with sequence similarity 46 member A
ILMN_1680626	0.983	0.00548521	-3.1005659	-2.5615	-0.28088274	PDIA6	protein disulfide isomerase family A member 6
ILMN_2096442	0.983	0.0054986	-3.09950193	-2.5628	-0.15604011		
ILMN_1682774	0.983	0.00551663	3.09807366	-2.5647	0.54315943	TEX30	testis expressed 30
ILMN_1807662	0.983	0.00552209	-3.09764239	-2.5652	-0.35797838	IGF2R	insulin like growth factor 2 receptor
ILMN_3258283	0.983	0.00555542	-3.09501654	-2.5686	-0.14485041		
ILMN_1696294	0.983	0.00557075	3.0938139	-2.5701	0.34457326	SNX6	sorting nexin 6
ILMN_1785402	0.983	0.00557551	3.09344128	-2.5706	0.55517705	LTBP1	latent transforming growth factor beta binding protein 1
ILMN_1781824	0.983	0.00557833	-3.09322052	-2.5709	-0.43321058	FASLG	Fas ligand
ILMN_1869761	0.983	0.00558761	3.09249467	-2.5718	0.20261874		
